solver,n_requested,n_used,seed,status,run_dir,speed_mps,y_max_meters,future_only,delta,C,k,stopping_condition,device,runtime_sec,build_time_sec,solve_time_sec,phases,total_inner_loops,matching_cost_m,matching_cost_km,avg_cost_m,avg_cost_km,feasible_matches,free_B,num_feasible_edges,num_arcs,num_nodes,removed_by_future,removed_by_speed,removed_by_ymax
spef_scaled,1000,1000,1,success,results/2014-10-14/spef_scaled_n1000_seed1,8.0,10000.0,True,0.001,100000.0,512,50,cuda,2.1809747900115326,,,5,518,901438.2728391455,901.4382728391455,965.1373370868796,0.9651373370868795,934.0,66.0,,,,5.0,0.0,13.0
spef_scaled,1000,1000,2,success,results/2014-10-14/spef_scaled_n1000_seed2,8.0,10000.0,True,0.001,100000.0,512,50,cuda,1.9434674170333892,,,5,380,815855.8599531061,815.8558599531061,880.1034087951523,0.8801034087951523,927.0,73.0,,,,11.0,0.0,16.0
spef_scaled,1000,1000,3,success,results/2014-10-14/spef_scaled_n1000_seed3,8.0,10000.0,True,0.001,100000.0,512,50,cuda,2.192545381025411,,,5,519,832674.4171427777,832.6744171427777,894.3871290470222,0.8943871290470222,931.0,69.0,,,,7.0,0.0,14.0
spef_scaled,2000,2000,1,success,results/2014-10-14/spef_scaled_n2000_seed1,8.0,10000.0,True,0.001,100000.0,512,100,cuda,2.1537157389102504,,,5,501,1427273.7185870078,1427.2737185870078,766.5272387685327,0.7665272387685327,1862.0,138.0,,,,11.0,0.0,31.0
spef_scaled,2000,2000,2,success,results/2014-10-14/spef_scaled_n2000_seed2,8.0,10000.0,True,0.001,100000.0,512,100,cuda,2.0117309789638966,,,5,391,1294481.8524973504,1294.4818524973505,699.7199202688381,0.6997199202688381,1850.0,150.0,,,,19.0,0.0,36.0
spef_scaled,2000,2000,3,success,results/2014-10-14/spef_scaled_n2000_seed3,8.0,10000.0,True,0.001,100000.0,512,100,cuda,1.9439945899648592,,,5,436,1345258.8169105859,1345.258816910586,721.3184004882498,0.7213184004882498,1865.0,135.0,,,,15.0,0.0,27.0
spef_scaled,5000,5000,1,success,results/2014-10-14/spef_scaled_n5000_seed1,8.0,10000.0,True,0.001,100000.0,512,250,cuda,2.422590231988579,,,5,568,2673824.0957406517,2673.8240957406515,573.7819947941313,0.5737819947941313,4660.0,340.0,,,,27.0,0.0,74.0
spef_scaled,5000,5000,2,success,results/2014-10-14/spef_scaled_n5000_seed2,8.0,10000.0,True,0.001,100000.0,512,250,cuda,2.262147512054071,,,5,514,2580664.5046363114,2580.6645046363114,556.8978214579869,0.5568978214579869,4634.0,366.0,,,,34.0,0.0,96.0
spef_scaled,5000,5000,3,success,results/2014-10-14/spef_scaled_n5000_seed3,8.0,10000.0,True,0.001,100000.0,512,250,cuda,2.4350711420411244,,,5,583,2824448.166029102,2824.448166029102,605.3253677730609,0.6053253677730609,4666.0,334.0,,,,33.0,0.0,62.0
spef_scaled,10000,10000,1,success,results/2014-10-14/spef_scaled_n10000_seed1,8.0,10000.0,True,0.001,100000.0,512,500,cuda,3.40921498904936,,,5,976,4568938.608221477,4568.938608221477,490.4399536519404,0.49043995365194043,9316.0,684.0,,,,50.0,0.0,152.0
spef_scaled,10000,10000,2,success,results/2014-10-14/spef_scaled_n10000_seed2,8.0,10000.0,True,0.001,100000.0,512,500,cuda,3.353134184028022,,,5,958,4683166.18615349,4683.16618615349,504.16257790434815,0.5041625779043482,9289.0,711.0,,,,64.0,0.0,179.0
spef_scaled,10000,10000,3,success,results/2014-10-14/spef_scaled_n10000_seed3,8.0,10000.0,True,0.001,100000.0,512,500,cuda,3.507907683029771,,,5,1031,4609414.899987893,4609.4148999878935,493.46053955549655,0.49346053955549657,9341.0,659.0,,,,57.0,0.0,123.0
spef_scaled,15000,15000,1,success,results/2014-10-14/spef_scaled_n15000_seed1,8.0,10000.0,True,0.001,100000.0,512,750,cuda,4.615070233005099,,,5,1297,6540133.097101221,6540.133097101221,467.7872181604478,0.4677872181604478,13981.0,1019.0,,,,66.0,0.0,238.0
spef_scaled,15000,15000,2,success,results/2014-10-14/spef_scaled_n15000_seed2,8.0,10000.0,True,0.001,100000.0,512,750,cuda,4.692018604953773,,,5,1322,6651433.012693579,6651.433012693579,476.634397183345,0.476634397183345,13955.0,1045.0,,,,74.0,0.0,255.0
spef_scaled,15000,15000,3,success,results/2014-10-14/spef_scaled_n15000_seed3,8.0,10000.0,True,0.001,100000.0,512,750,cuda,4.723218861036003,,,5,1347,6406495.151982514,6406.4951519825145,457.5087589789698,0.4575087589789698,14003.0,997.0,,,,83.0,0.0,201.0
spef_scaled,20000,20000,1,success,results/2014-10-14/spef_scaled_n20000_seed1,8.0,10000.0,True,0.001,100000.0,512,1000,cuda,6.121569475042634,,,5,1718,8390067.079908451,8390.067079908451,449.7730824438968,0.4497730824438968,18654.0,1346.0,,,,83.0,0.0,303.0
spef_scaled,20000,20000,2,success,results/2014-10-14/spef_scaled_n20000_seed2,8.0,10000.0,True,0.001,100000.0,512,1000,cuda,6.296521972981282,,,5,1737,8369598.938988342,8369.598938988342,449.08509625950217,0.44908509625950216,18637.0,1363.0,,,,86.0,0.0,325.0
spef_scaled,20000,20000,3,success,results/2014-10-14/spef_scaled_n20000_seed3,8.0,10000.0,True,0.001,100000.0,512,1000,cuda,6.372550548054278,,,5,1733,8276539.558840965,8276.539558840965,443.52068800391004,0.44352068800391004,18661.0,1339.0,,,,113.0,0.0,278.0
ortools,1000,1000,1,success,results/2014-10-14/ortools_n1000_seed1,8.0,10000.0,True,,,,,,1.0382101390277967,0.08629532298073173,0.2182934950105846,,,1019193.535,1019.193535,1059.452739085239,1.059452739085239,962,38,443411,446412,2003,,,
ortools,1000,1000,2,success,results/2014-10-14/ortools_n1000_seed2,8.0,10000.0,True,,,,,,1.018739433027804,0.09549805102869868,0.19713467895053327,,,1057238.864,1057.2388640000001,1100.1444994797087,1.1001444994797087,961,39,435533,438534,2003,,,
ortools,1000,1000,3,success,results/2014-10-14/ortools_n1000_seed3,8.0,10000.0,True,,,,,,1.0280857180478051,0.08265247708186507,0.20738712092861533,,,930967.959,930.9679590000001,970.7695088633994,0.9707695088633994,959,41,439315,442316,2003,,,
ortools,2000,2000,1,success,results/2014-10-14/ortools_n2000_seed1,8.0,10000.0,True,,,,,,3.0572904619621113,0.36543086695019156,1.420311365975067,,,1893616.723,1893.616723,980.1328793995859,0.9801328793995859,1932,68,1754841,1760842,4003,,,
ortools,2000,2000,2,success,results/2014-10-14/ortools_n2000_seed2,8.0,10000.0,True,,,,,,2.7677154630655423,0.35418082494288683,1.1691070959204808,,,1537688.158,1537.6881580000002,801.7143680917623,0.8017143680917623,1918,82,1735100,1741101,4003,,,
ortools,2000,2000,3,success,results/2014-10-14/ortools_n2000_seed3,8.0,10000.0,True,,,,,,2.890627592918463,0.3717938020126894,1.2099235029891133,,,1668313.217,1668.313217,863.9633438632833,0.8639633438632832,1931,69,1761541,1767542,4003,,,
ortools,5000,5000,1,success,results/2014-10-14/ortools_n5000_seed1,8.0,10000.0,True,,,,,,16.987565523013473,2.2023565530544147,7.200141220004298,,,3613818.619,3613.818619,746.5025034083867,0.7465025034083868,4841,159,10996772,11011773,10003,,,
ortools,5000,5000,2,success,results/2014-10-14/ortools_n5000_seed2,8.0,10000.0,True,,,,,,17.299030045047402,2.1794095780933276,7.655308973044157,,,3519764.74,3519.76474,729.7874227659133,0.7297874227659134,4823,177,10926296,10941297,10003,,,
ortools,5000,5000,3,success,results/2014-10-14/ortools_n5000_seed3,8.0,10000.0,True,,,,,,19.872651831014082,2.2384630900342017,9.433775523095392,,,4011568.018,4011.568018,825.7653392342528,0.8257653392342528,4858,142,11030800,11045801,10003,,,
ortools,10000,10000,1,success,results/2014-10-14/ortools_n10000_seed1,8.0,10000.0,True,,,,,,82.83418190805241,9.248108615051024,40.54236333805602,,,6571815.492,6571.815492,677.3670884353741,0.6773670884353741,9702,298,43903375,43933376,20003,,,
ortools,10000,10000,2,success,results/2014-10-14/ortools_n10000_seed2,8.0,10000.0,True,,,,,,88.81274543295149,9.028182868962176,49.58579043392092,,,6923616.311,6923.616311,714.0693390057755,0.7140693390057755,9696,304,43781483,43811484,20003,,,
ortools,10000,10000,3,success,results/2014-10-14/ortools_n10000_seed3,8.0,10000.0,True,,,,,,88.59135804092512,9.077360618044622,48.64881823898759,,,7638928.942,7638.928942,783.8014510568438,0.7838014510568437,9746,254,44022656,44052657,20003,,,
ortools,15000,15000,1,success,results/2014-10-14/ortools_n15000_seed1,8.0,10000.0,True,,,,,,188.69919116108213,20.955513300024904,96.51043186709285,,,9688944.252,9688.944252000001,664.9471039736463,0.6649471039736463,14571,429,98663989,98708990,30003,,,
ortools,15000,15000,2,success,results/2014-10-14/ortools_n15000_seed2,8.0,10000.0,True,,,,,,164.52808151196223,20.968725560000166,70.63520190189593,,,9925821.841,9925.821841,681.5780979880519,0.681578097988052,14563,437,98564641,98609642,30003,,,
ortools,15000,15000,3,success,results/2014-10-14/ortools_n15000_seed3,8.0,10000.0,True,,,,,,179.05224422202446,21.104990488034673,85.31679732399061,,,10343984.056,10343.984056,707.7649029079713,0.7077649029079712,14615,385,98968246,99013247,30003,,,
ortools,20000,20000,1,success,results/2014-10-14/ortools_n20000_seed1,8.0,10000.0,True,,,,,,377.9859314969508,37.18367577006575,199.18585323600564,,,12558567.284,12558.567284,645.8839376671467,0.6458839376671467,19444,556,175463517,175523518,40003,,,
ortools,20000,20000,2,success,results/2014-10-14/ortools_n20000_seed2,8.0,10000.0,True,,,,,,299.09799305791967,36.4123879900435,141.40630965691525,,,12316426.03,12316.426029999999,633.9849709167653,0.6339849709167653,19427,573,174942829,175002830,40003,,,
ortools,20000,20000,3,success,results/2014-10-14/ortools_n20000_seed3,8.0,10000.0,True,,,,,,355.7546072009718,38.555713087902404,166.17913633503485,,,13007543.648,13007.543648,667.5327747100482,0.6675327747100482,19486,514,175604635,175664636,40003,,,
