solver,n_requested,n_used,seed,status,run_dir,combined_solver,combined_runtime_sec,speed_mps,y_max_meters,future_only,delta,C,k,stopping_condition,fill_policy,device,origin_lon,origin_lat,runtime_sec,phases,total_inner_loops,matching_cost_m,matching_cost_km,avg_cost_m,avg_cost_km,feasible_matches,free_B,removed_by_future,removed_by_speed,removed_by_ymax,top_k,top_k_source,build_time_sec,solve_time_sec,num_feasible_edges,opt_cost_m,opt_cost_km,opt_avg_cost_m,opt_avg_cost_km,input,n,date,random_sample
spef_scaled,2000,2000,3,success,results/2014-10-14/combined_n2000_seed3,combined,7.625001035165042,8.0,10000.0,True,0.001,100000.0,512,100,none,cuda,-73.98029327392578,40.75506591796875,0.6933345489669591,5,436,1345258.8169105859,1345.258816910586,721.3184004882498,0.7213184004882498,1865.0,135.0,15.0,0.0,27.0,,,,,,,,,,,,,
pot_partial,2000,2000,3,success,results/2014-10-14/combined_n2000_seed3,combined,7.625001035165042,8.0,10000.0,True,0.001,100000.0,512,100,none,cuda,-73.98029327392578,40.75506591796875,1.003599438117817,,,,,,,,,,,,1865,spef_scaled,0.20001067500561476,0.8035887631122023,1761541,884853.9608051272,884.8539608051271,474.4525259008725,0.47445252590087245,,,,
spef_unscaled,5000,5000,1,success,results/2014-10-14/combined_n5000_seed1,combined,15.283862631069496,8.0,10000.0,True,0.001,100000.0,512,250,none,cuda,-73.98014831542969,40.755210876464844,6.571346814977005,1,2480,2354532.8571478273,2354.532857147827,504.61484293781126,0.5046148429378112,4666.0,334.0,28.0,0.0,70.0,,,,,,,,,,,,,
spef_scaled,5000,5000,1,success,results/2014-10-14/combined_n5000_seed1,combined,15.283862631069496,8.0,10000.0,True,0.001,100000.0,512,250,none,cuda,-73.98014831542969,40.755210876464844,1.0024666241370142,5,568,2673824.0957406517,2673.8240957406515,573.7819947941313,0.5737819947941313,4660.0,340.0,27.0,0.0,74.0,,,,,,,,,,,,,
pot_partial,5000,5000,1,success,results/2014-10-14/combined_n5000_seed1,combined,15.283862631069496,8.0,10000.0,True,0.001,100000.0,512,250,none,cuda,-73.98014831542969,40.755210876464844,7.710049191955477,,,,,,,,,,,,4660,spef_scaled,1.0866025709547102,6.623446621000767,10996772,1714521.889120627,1714.521889120627,367.92315217180834,0.3679231521718084,,,,
spef_unscaled,5000,5000,2,success,results/2014-10-14/combined_n5000_seed2,combined,14.470533946994692,8.0,10000.0,True,0.001,100000.0,512,250,none,cuda,-73.98023986816406,40.75517654418945,5.634335787035525,1,1956,2369306.034508453,2369.306034508453,509.5281794641835,0.5095281794641835,4650.0,350.0,34.0,0.0,77.0,,,,,,,,,,,,,
spef_scaled,5000,5000,2,success,results/2014-10-14/combined_n5000_seed2,combined,14.470533946994692,8.0,10000.0,True,0.001,100000.0,512,250,none,cuda,-73.98023986816406,40.75517654418945,0.9113780849147588,5,514,2580664.5046363114,2580.6645046363114,556.8978214579869,0.5568978214579869,4634.0,366.0,34.0,0.0,96.0,,,,,,,,,,,,,
pot_partial,5000,5000,2,success,results/2014-10-14/combined_n5000_seed2,combined,14.470533946994692,8.0,10000.0,True,0.001,100000.0,512,250,none,cuda,-73.98023986816406,40.75517654418945,7.924820075044408,,,,,,,,,,,,4634,spef_scaled,1.0891483630985022,6.835671711945906,10926296,1666057.050271885,1666.057050271885,359.5289275511189,0.35952892755111887,,,,
spef_unscaled,5000,5000,3,success,results/2014-10-14/combined_n5000_seed3,combined,16.379912530770525,8.0,10000.0,True,0.001,100000.0,512,250,none,cuda,-73.98016357421875,40.755252838134766,7.431145410053432,1,2946,2511617.821456601,2511.6178214566007,536.5558259894469,0.5365558259894468,4681.0,319.0,33.0,0.0,45.0,,,,,,,,,,,,,
spef_scaled,5000,5000,3,success,results/2014-10-14/combined_n5000_seed3,combined,16.379912530770525,8.0,10000.0,True,0.001,100000.0,512,250,none,cuda,-73.98016357421875,40.755252838134766,1.0366791218984872,5,583,2824448.166029102,2824.448166029102,605.3253677730609,0.6053253677730609,4666.0,334.0,33.0,0.0,62.0,,,,,,,,,,,,,
pot_partial,5000,5000,3,success,results/2014-10-14/combined_n5000_seed3,combined,16.379912530770525,8.0,10000.0,True,0.001,100000.0,512,250,none,cuda,-73.98016357421875,40.755252838134766,7.912087998818606,,,,,,,,,,,,4666,spef_scaled,1.091203214833513,6.820884783985093,11030800,1747098.098186622,1747.0980981866219,374.43165413343803,0.37443165413343804,,,,
combined,10000,,1,failed,results/2014-10-14/combined_n10000_seed1,combined,,8.0,10000.0,True,0.001,100000.0,512,500,none,cuda,,,,,,,,,,,,,,,,,,,,,,,,/home/amulay2/SpaceEfficientOT/experiments/nyc_taxi/data/2014_Yellow_Taxi_Trip_Data_20251014-3.csv,10000,2014-10-14,True
combined,10000,,2,failed,results/2014-10-14/combined_n10000_seed2,combined,,8.0,10000.0,True,0.001,100000.0,512,500,none,cuda,,,,,,,,,,,,,,,,,,,,,,,,/home/amulay2/SpaceEfficientOT/experiments/nyc_taxi/data/2014_Yellow_Taxi_Trip_Data_20251014-3.csv,10000,2014-10-14,True
combined,10000,,3,failed,results/2014-10-14/combined_n10000_seed3,combined,,8.0,10000.0,True,0.001,100000.0,512,500,none,cuda,,,,,,,,,,,,,,,,,,,,,,,,/home/amulay2/SpaceEfficientOT/experiments/nyc_taxi/data/2014_Yellow_Taxi_Trip_Data_20251014-3.csv,10000,2014-10-14,True
combined,15000,,1,failed,results/2014-10-14/combined_n15000_seed1,combined,,8.0,10000.0,True,0.001,100000.0,512,750,none,cuda,,,,,,,,,,,,,,,,,,,,,,,,/home/amulay2/SpaceEfficientOT/experiments/nyc_taxi/data/2014_Yellow_Taxi_Trip_Data_20251014-3.csv,15000,2014-10-14,True
combined,15000,,2,failed,results/2014-10-14/combined_n15000_seed2,combined,,8.0,10000.0,True,0.001,100000.0,512,750,none,cuda,,,,,,,,,,,,,,,,,,,,,,,,/home/amulay2/SpaceEfficientOT/experiments/nyc_taxi/data/2014_Yellow_Taxi_Trip_Data_20251014-3.csv,15000,2014-10-14,True
combined,15000,,3,failed,results/2014-10-14/combined_n15000_seed3,combined,,8.0,10000.0,True,0.001,100000.0,512,750,none,cuda,,,,,,,,,,,,,,,,,,,,,,,,/home/amulay2/SpaceEfficientOT/experiments/nyc_taxi/data/2014_Yellow_Taxi_Trip_Data_20251014-3.csv,15000,2014-10-14,True
combined,20000,,1,failed,results/2014-10-14/combined_n20000_seed1,combined,,8.0,10000.0,True,0.001,100000.0,512,1000,none,cuda,,,,,,,,,,,,,,,,,,,,,,,,/home/amulay2/SpaceEfficientOT/experiments/nyc_taxi/data/2014_Yellow_Taxi_Trip_Data_20251014-3.csv,20000,2014-10-14,True
combined,20000,,2,failed,results/2014-10-14/combined_n20000_seed2,combined,,8.0,10000.0,True,0.001,100000.0,512,1000,none,cuda,,,,,,,,,,,,,,,,,,,,,,,,/home/amulay2/SpaceEfficientOT/experiments/nyc_taxi/data/2014_Yellow_Taxi_Trip_Data_20251014-3.csv,20000,2014-10-14,True
combined,20000,,3,failed,results/2014-10-14/combined_n20000_seed3,combined,,8.0,10000.0,True,0.001,100000.0,512,1000,none,cuda,,,,,,,,,,,,,,,,,,,,,,,,/home/amulay2/SpaceEfficientOT/experiments/nyc_taxi/data/2014_Yellow_Taxi_Trip_Data_20251014-3.csv,20000,2014-10-14,True
