solver,n_requested,n_used,seed,status,run_dir,combined_solver,combined_runtime_sec,speed_mps,y_max_meters,future_only,delta,C,k,stopping_condition,fill_policy,device,origin_lon,origin_lat,runtime_sec,phases,total_inner_loops,matching_cost_m,matching_cost_km,avg_cost_m,avg_cost_km,feasible_matches,free_B,removed_by_future,removed_by_speed,removed_by_ymax,top_k,top_k_source,build_time_sec,solve_time_sec,num_feasible_edges,opt_cost_m,opt_cost_km,opt_avg_cost_m,opt_avg_cost_km
spef_scaled,2000,2000,3,success,results/2014-10-14/combined_n2000_seed3,combined,51.877895415062085,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98029327392578,40.75506591796875,3.422877965029329,5,2140,1227834.9495490347,1227.8349495490347,658.3565413131554,0.6583565413131554,1865.0,135.0,15.0,0.0,25.0,,,,,,,,,
pot_partial,2000,2000,3,success,results/2014-10-14/combined_n2000_seed3,combined,51.877895415062085,8.0,10000.0,True,0.0001,100000.0,512,100,none,cuda,-73.98029327392578,40.75506591796875,0.9973286839667708,,,,,,,,,,,,1865,spef_scaled,0.1999525809660554,0.7973761030007154,1761541,884853.9608051272,884.8539608051271,474.4525259008725,0.47445252590087245
spef_unscaled,5000,5000,1,success,results/2014-10-14/combined_n5000_seed1,combined,67.73816921911202,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98014831542969,40.755210876464844,55.210003518965095,1,24626,2343843.07826854,2343.84307826854,502.43152803184137,0.5024315280318413,4665.0,335.0,28.0,0.0,66.0,,,,,,,,,
spef_scaled,5000,5000,1,success,results/2014-10-14/combined_n5000_seed1,combined,67.73816921911202,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98014831542969,40.755210876464844,4.324828925076872,5,2451,2384612.311819032,2384.6123118190317,512.0490255140717,0.5120490255140716,4657.0,343.0,28.0,0.0,74.0,,,,,,,,,
pot_partial,5000,5000,1,success,results/2014-10-14/combined_n5000_seed1,combined,67.73816921911202,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98014831542969,40.755210876464844,8.203336775070056,,,,,,,,,,,,4657,spef_scaled,1.09048283402808,7.112853941041976,10996772,1698331.771956274,1698.331771956274,364.6836529861014,0.36468365298610134
spef_unscaled,5000,5000,2,success,results/2014-10-14/combined_n5000_seed2,combined,56.63598140492104,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98023986816406,40.75517654418945,45.05754998209886,1,19247,2335193.8397960314,2335.193839796031,502.62458884976996,0.5026245888497699,4646.0,354.0,34.0,0.0,81.0,,,,,,,,,
spef_scaled,5000,5000,2,success,results/2014-10-14/combined_n5000_seed2,combined,56.63598140492104,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98023986816406,40.75517654418945,3.5702809197828174,5,2040,2363641.474300063,2363.6414743000632,509.845011712697,0.509845011712697,4636.0,364.0,34.0,0.0,91.0,,,,,,,,,
pot_partial,5000,5000,2,success,results/2014-10-14/combined_n5000_seed2,combined,56.63598140492104,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98023986816406,40.75517654418945,8.00815050303936,,,,,,,,,,,,4636,spef_scaled,1.0919918629806489,6.916158640058711,10926296,1676707.963817497,1676.707963817497,361.67126053008997,0.36167126053008997
spef_unscaled,5000,5000,3,success,results/2014-10-14/combined_n5000_seed3,combined,74.0381660698913,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98016357421875,40.755252838134766,61.338389934040606,1,28708,2499984.774857397,2499.984774857397,534.1847809524353,0.5341847809524353,4680.0,320.0,33.0,0.0,48.0,,,,,,,,,
spef_scaled,5000,5000,3,success,results/2014-10-14/combined_n5000_seed3,combined,74.0381660698913,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98016357421875,40.755252838134766,4.470338612096384,5,2580,2550102.115096942,2550.1021150969423,545.9435056940574,0.5459435056940575,4671.0,329.0,33.0,0.0,53.0,,,,,,,,,
pot_partial,5000,5000,3,success,results/2014-10-14/combined_n5000_seed3,combined,74.0381660698913,8.0,10000.0,True,0.0001,100000.0,512,250,none,cuda,-73.98016357421875,40.755252838134766,8.229437523754314,,,,,,,,,,,,4671,spef_scaled,1.0937077519483864,7.135729771805927,11030800,1776330.4177431467,1776.3304177431467,380.2891067743838,0.38028910677438377
spef_unscaled,10000,10000,1,success,results/2014-10-14/combined_n10000_seed1,combined,148.9091496693436,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98042297363281,40.75510787963867,94.713487588102,1,20662,4117152.8277721554,4117.152827772155,440.8086539370616,0.4408086539370616,9340.0,660.0,50.0,0.0,134.0,,,,,,,,,
spef_scaled,10000,10000,1,success,results/2014-10-14/combined_n10000_seed1,combined,148.9091496693436,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98042297363281,40.75510787963867,7.70589677314274,5,3770,4114828.1634888058,4114.828163488805,441.4578010394599,0.44145780103945986,9321.0,679.0,50.0,0.0,146.0,,,,,,,,,
pot_partial,10000,10000,1,success,results/2014-10-14/combined_n10000_seed1,combined,148.9091496693436,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98042297363281,40.75510787963867,46.48976530809887,,,,,,,,,,,,9321,spef_scaled,4.646908135153353,41.842857172945514,43903375,2808545.0587475765,2808.5450587475766,301.3137065494664,0.30131370654946643
spef_unscaled,10000,10000,2,success,results/2014-10-14/combined_n10000_seed2,combined,142.8509738522116,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98023986816406,40.75504684448242,90.80138664203696,1,19223,4176092.443910128,4176.092443910128,448.4635356432698,0.4484635356432698,9312.0,688.0,64.0,0.0,147.0,,,,,,,,,
spef_scaled,10000,10000,2,success,results/2014-10-14/combined_n10000_seed2,combined,142.8509738522116,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98023986816406,40.75504684448242,7.472128201043233,5,3684,4236045.634246586,4236.045634246586,455.7337960458941,0.45573379604589415,9295.0,705.0,64.0,0.0,161.0,,,,,,,,,
pot_partial,10000,10000,2,success,results/2014-10-14/combined_n10000_seed2,combined,142.8509738522116,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98023986816406,40.75504684448242,44.57745900913142,,,,,,,,,,,,9295,spef_scaled,4.669312793063,39.90814621606842,43781483,2941516.771958894,2941.516771958894,316.46226702086005,0.31646226702086006
spef_unscaled,10000,10000,3,success,results/2014-10-14/combined_n10000_seed3,combined,162.75951270898804,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98016357421875,40.755088806152344,109.48683285200968,1,24339,4055084.1576661565,4055.0841576661564,432.95794978284823,0.43295794978284824,9366.0,634.0,60.0,0.0,99.0,,,,,,,,,
spef_scaled,10000,10000,3,success,results/2014-10-14/combined_n10000_seed3,combined,162.75951270898804,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98016357421875,40.755088806152344,8.613950639031827,5,4234,4118097.704130443,4118.097704130443,440.67391162444545,0.44067391162444547,9345.0,655.0,60.0,0.0,114.0,,,,,,,,,
pot_partial,10000,10000,3,success,results/2014-10-14/combined_n10000_seed3,combined,162.75951270898804,8.0,10000.0,True,0.0001,100000.0,512,500,none,cuda,-73.98016357421875,40.755088806152344,44.65872921794653,,,,,,,,,,,,9345,spef_scaled,4.659604290034622,39.99912492791191,44022656,2770664.0226973617,2770.664022697362,296.4862517600173,0.2964862517600173
spef_unscaled,15000,15000,1,success,results/2014-10-14/combined_n15000_seed1,combined,269.1438639436383,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.98048400878906,40.75516128540039,135.57119990722276,1,19316,5824107.925671671,5824.10792567167,415.5624634799622,0.41556246347996223,14015.0,985.0,66.0,0.0,206.0,,,,,,,,,
spef_scaled,15000,15000,1,success,results/2014-10-14/combined_n15000_seed1,combined,269.1438639436383,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.98048400878906,40.75516128540039,11.349994463147596,5,4688,5842828.729192964,5842.828729192964,417.76267189996884,0.4177626718999688,13986.0,1014.0,66.0,0.0,224.0,,,,,,,,,
pot_partial,15000,15000,1,success,results/2014-10-14/combined_n15000_seed1,combined,269.1438639436383,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.98048400878906,40.75516128540039,122.22266957326792,,,,,,,,,,,,13986,spef_scaled,10.483616375131533,111.73905319813639,98663989,3898139.4614124154,3898.1394614124156,278.7172502082379,0.2787172502082379
spef_unscaled,15000,15000,2,success,results/2014-10-14/combined_n15000_seed2,combined,275.5338426742237,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.98021697998047,40.755184173583984,138.68500599102117,1,19798,5864262.758381964,5864.262758381964,419.14536190279205,0.41914536190279206,13991.0,1009.0,74.0,0.0,211.0,,,,,,,,,
spef_scaled,15000,15000,2,success,results/2014-10-14/combined_n15000_seed2,combined,275.5338426742237,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.98021697998047,40.755184173583984,11.588743109954521,5,4814,5893555.137119862,5893.555137119863,422.1139619767843,0.4221139619767843,13962.0,1038.0,74.0,0.0,241.0,,,,,,,,,
pot_partial,15000,15000,2,success,results/2014-10-14/combined_n15000_seed2,combined,275.5338426742237,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.98021697998047,40.755184173583984,125.26009357324801,,,,,,,,,,,,13962,spef_scaled,10.473373043118045,114.78672053012997,98564637,4049253.2525924738,4049.253252592474,290.01957116405055,0.2900195711640506
spef_unscaled,15000,15000,3,success,results/2014-10-14/combined_n15000_seed3,combined,290.0499838751275,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.9802474975586,40.755096435546875,153.28516342211515,1,22662,5663552.423450954,5663.552423450954,403.21461081097493,0.4032146108109749,14046.0,954.0,83.0,0.0,160.0,,,,,,,,,
spef_scaled,15000,15000,3,success,results/2014-10-14/combined_n15000_seed3,combined,290.0499838751275,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.9802474975586,40.755096435546875,12.533372381003574,5,5196,5711223.9071679,5711.2239071679005,407.30451484580664,0.40730451484580665,14022.0,978.0,83.0,0.0,175.0,,,,,,,,,
pot_partial,15000,15000,3,success,results/2014-10-14/combined_n15000_seed3,combined,290.0499838751275,8.0,10000.0,True,0.0001,100000.0,512,750,none,cuda,-73.9802474975586,40.755096435546875,124.23144807200879,,,,,,,,,,,,14022,spef_scaled,10.50989341782406,113.72155465418473,98968244,3880000.384906696,3880.000384906696,276.70805768839654,0.2767080576883965
spef_unscaled,20000,20000,1,success,results/2014-10-14/combined_n20000_seed1,combined,482.77985171508044,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98043060302734,40.755279541015625,202.88617274700664,1,18709,7449119.175109217,7449.119175109217,398.49778928525205,0.3984977892852521,18693.0,1307.0,83.0,0.0,259.0,,,,,,,,,
spef_scaled,20000,20000,1,success,results/2014-10-14/combined_n20000_seed1,combined,482.77985171508044,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98043060302734,40.755279541015625,17.29240535805002,5,6081,7492153.331623304,7492.1533316233035,401.59483981685804,0.40159483981685806,18656.0,1344.0,83.0,0.0,292.0,,,,,,,,,
pot_partial,20000,20000,1,success,results/2014-10-14/combined_n20000_seed1,combined,482.77985171508044,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98043060302734,40.755279541015625,262.6012736100238,,,,,,,,,,,,18656,spef_scaled,18.631164863007143,243.97010874701664,175463517,4968116.605462919,4968.116605462919,266.3012760218117,0.2663012760218117
spef_unscaled,20000,20000,2,success,results/2014-10-14/combined_n20000_seed2,combined,478.6874404703267,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98017120361328,40.755184173583984,204.69417115906253,1,19249,7451221.789586291,7451.2217895862905,398.90903097522835,0.39890903097522834,18679.0,1321.0,86.0,0.0,273.0,,,,,,,,,
spef_scaled,20000,20000,2,success,results/2014-10-14/combined_n20000_seed2,combined,478.6874404703267,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98017120361328,40.755184173583984,17.387758266180754,5,6198,7459551.12938413,7459.55112938413,400.04028151360166,0.40004028151360166,18647.0,1353.0,86.0,0.0,303.0,,,,,,,,,
pot_partial,20000,20000,2,success,results/2014-10-14/combined_n20000_seed2,combined,478.6874404703267,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98017120361328,40.755184173583984,256.6055110450834,,,,,,,,,,,,18647,spef_scaled,18.49467756995,238.1108334751334,174942826,5044612.115746529,5044.612115746529,270.53210252300795,0.2705321025230079
spef_unscaled,20000,20000,3,success,results/2014-10-14/combined_n20000_seed3,combined,512.8341610720381,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98028564453125,40.7551155090332,221.41100881621242,1,21050,7292481.400593167,7292.481400593168,389.5972540118157,0.3895972540118158,18718.0,1282.0,113.0,0.0,223.0,,,,,,,,,
spef_scaled,20000,20000,3,success,results/2014-10-14/combined_n20000_seed3,combined,512.8341610720381,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98028564453125,40.7551155090332,18.414311005035415,5,6556,7389061.488014389,7389.0614880143885,395.58121355609984,0.3955812135560998,18679.0,1321.0,113.0,0.0,257.0,,,,,,,,,
pot_partial,20000,20000,3,success,results/2014-10-14/combined_n20000_seed3,combined,512.8341610720381,8.0,10000.0,True,0.0001,100000.0,512,1000,none,cuda,-73.98028564453125,40.7551155090332,273.0088412507903,,,,,,,,,,,,18679,spef_scaled,18.504309101961553,254.50453214882873,175604635,4902012.166936831,4902.012166936831,262.4344004998571,0.2624344004998571
